name,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,cuisines,highlights,all_reviews_count,photo_count
South & More,18.5323899000,73.8767475000,300,1,3.4,51,"South Indian, Street Food, Beverages","['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",14,12
Cafe Farmhouse,18.5325624266,73.8766300678,300,1,0,0,"Fast Food, Beverages","['Dinner', 'Cash', 'Breakfast', 'Lunch', 'Takeaway Available', 'Indoor Seating']",0,0
Maharaja,18.5326326802,73.8766384497,600,2,4.1,188,"Maharashtrian, North Indian, Chinese","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Lunch Menu', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned']",66,77
Vohuman Cafe,18.5325824537,73.8765905052,250,1,4.6,4603,Street Food,"['Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating']",1996,1951
Madras Coffee House,18.5326625619,73.8765133917,350,1,4.1,533,"South Indian, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'All Day Breakfast', 'Digital Payments Accepted', 'Pure Veg']",76,116
Cafe Farm House,18.5325967587,73.8764734939,200,1,0,8,"Fast Food, Street Food, Beverages","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted']",2,1
Kata Kirr,18.5328358116,73.8765593246,150,1,3.4,861,"Street Food, Maharashtrian","['Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",174,94
Ahling,18.5321895415,73.8765710592,800,2,4.1,947,"Singaporean, Seafood, Chinese","['Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned']",160,131
Baker's Basket,18.5331660982,73.8766803592,400,1,3.8,106,"Bakery, Desserts, Fast Food","['Delivery', 'No Alcohol Available', 'Cash', 'Breakfast', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes']",8,13
Hotel Marymatha,18.5318945389,73.8765314966,350,1,3.2,45,"South Indian, North Indian","['Takeaway Available', 'Breakfast', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",11,7
Woodland's Express,18.5318449479,73.8766827062,500,2,3.3,80,"North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages","['No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",16,7
Baskin Robbins,18.5333682753,73.8765499368,300,1,2.8,24,"Ice Cream, Desserts, Beverages","['Delivery', 'Cash', 'Takeaway Available', 'Desserts and Bakes', 'Indoor Seating', 'Pure Veg']",5,108
Foodland Restaurant,18.5315989000,73.8771973550,1200,3,3.5,80,"North Indian, Chinese, Continental, Mughlai, Biryani","['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Free Parking', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Indoor Seating']",33,5
Jalsa Family Garden Restaurant,18.5318767370,73.8759719208,750,2,3.4,5,"North Indian, Chinese, Mughlai, Malwani, Mangalorean","['Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Table Reservation Not Required', 'Smoking Area', 'Outdoor Seating']",2,3
Punjab Da Tashan,18.5315295996,73.8762307540,450,1,3.3,167,"North Indian, Chinese, South Indian","['Delivery', 'Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",22,13
ROYCE' Chocolate,18.5313260000,73.8767860000,1000,3,3.9,0,Desserts,"['Standing Tables', 'Cash', 'Takeaway Available', 'Debit Card', 'Mall Parking', 'Delivery', 'Credit Card', 'Desserts and Bakes']",0,0
Evviva Sky Lounge - Crowne Plaza Pune City Centre,18.5312101182,73.8768278807,2500,4,4.3,744,"Bar Food, Kebab, Mexican","['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'DJ', 'Nightlife', 'Valet Parking Available', 'Live Music', 'Air Conditioned', 'Rooftop', 'Serves Cocktails', 'Dance Floor', 'City View', 'Fullbar', 'Romantic Dining', 'Table booking recommended', 'LGBTQIA Friendly', 'Smoking Area', 'Beer', 'Wine', 'Free Parking']",465,633
Al Mustafa Dum Biryani,18.5315505805,73.8758549094,500,2,3.3,950,"North Indian, Chinese, Maharashtrian, Mughlai","['Dinner', 'Cash', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",10,0
FF - Fast N' Fresh - Crowne Plaza,18.5311799184,73.8768278807,1800,3,3.6,33,Chinese,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",25,79
Mosaic Pastry Lounge - Crowne Plaza Pune City Centre,18.5311481292,73.8768322393,600,2,3.6,15,"Bakery, Desserts, Fast Food","['Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Air Conditioned', 'Indoor Seating', '4/5 Star', 'Desserts and Bakes']",8,83
Mosaic - Crowne Plaza Pune City Centre,18.5311004453,73.8768825307,2500,4,4.1,296,"North Indian, Fast Food","['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Table booking recommended', 'Wheelchair Accessible', 'Buffet', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Brunch', 'Fullbar']",225,532
Sai Bhojanalay,18.5305771935,73.8752152026,200,1,0,1,Maharashtrian,"['Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Free Parking', 'Pure Veg', 'Outdoor Seating', 'Digital Payments Accepted']",0,2
